Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,55.459998999999996,55.599998,54.240002000000004,55.150002,1664500,55.150002
2015-01-05,54.540001000000004,54.950001,52.330002,52.529999,2023000,52.529999
2015-01-06,52.549999,53.93,50.75,52.439999,3762800,52.439999
2015-01-07,53.32,53.75,51.759997999999996,52.209998999999996,1548200,52.209998999999996
2015-01-08,52.59,54.139998999999996,51.759997999999996,53.830002,2015300,53.830002
2015-01-09,55.959998999999996,56.990002000000004,54.720001,56.07,6224200,56.07
2015-01-12,56.0,56.060001,53.43,54.02,2407700,54.02
2015-01-13,54.470001,54.799999,52.52,53.18,1958400,53.18
2015-01-14,52.799999,53.68,51.459998999999996,52.200001,1846100,52.200001
2015-01-15,53.0,53.610001000000004,50.029999,50.119999,2647800,50.119999
2015-01-16,50.18,51.490002000000004,50.029999,51.389998999999996,2183300,51.389998999999996
2015-01-20,51.650002,51.779999,50.689999,51.41,1235000,51.41
2015-01-21,51.200001,53.5,51.200001,53.41,3248100,53.41
2015-01-22,53.869999,55.279999,53.119999,54.799999,2295400,54.799999
2015-01-23,54.66,55.639998999999996,54.299999,55.189999,1636400,55.189999
2015-01-26,55.119999,55.790001000000004,54.830002,55.41,1450300,55.41
2015-01-27,56.060001,56.16,54.57,55.630001,2410400,55.630001
2015-01-28,56.150002,56.150002,52.919998,53.0,2013100,53.0
2015-01-29,52.849998,53.310001,51.41,52.93,1844100,52.93
2015-01-30,52.59,53.419998,52.049999,52.470001,1875400,52.470001
2015-02-02,52.939999,53.5,51.209998999999996,53.470001,2105500,53.470001
2015-02-03,53.830002,55.93,53.41,55.779999,2885400,55.779999
2015-02-04,55.529999,57.07,55.25,56.740002000000004,2498600,56.740002000000004
2015-02-05,57.599998,57.700001,56.080002,57.470001,4657300,57.470001
2015-02-06,47.700001,48.169998,44.860001000000004,45.110001000000004,25180900,45.110001000000004
2015-02-09,44.91,45.040001000000004,42.099998,42.169998,13079300,42.169998
2015-02-10,43.830002,45.549999,43.310001,44.66,11267700,44.66
2015-02-11,45.389998999999996,46.43,44.810001,46.18,6359400,46.18
2015-02-12,46.450001,47.84,45.950001,47.630001,4375000,47.630001
2015-02-13,48.509997999999996,49.049999,47.220001,47.529999,4713100,47.529999
2015-02-17,47.439999,48.619999,47.029999,48.189999,2390100,48.189999
2015-02-18,47.939999,48.689999,47.200001,47.540001000000004,2541300,47.540001000000004
2015-02-19,47.16,47.790001000000004,46.869999,47.34,1642200,47.34
2015-02-20,47.400002,47.919998,47.099998,47.790001000000004,1688500,47.790001000000004
2015-02-23,47.549999,47.740002000000004,46.529999,47.349998,2086000,47.349998
2015-02-24,46.98,47.73,46.619999,47.290001000000004,1506500,47.290001000000004
2015-02-25,46.939999,47.450001,46.5,47.150002,1924600,47.150002
2015-02-26,48.630001,48.810001,47.560001,47.75,3059400,47.75
2015-02-27,48.32,48.439999,47.049999,48.0,2118400,48.0
2015-03-02,48.02,48.459998999999996,47.189999,47.860001000000004,1933700,47.860001000000004
2015-03-03,47.75,48.98,47.330002,48.580002,2352100,48.580002
2015-03-04,48.68,48.869999,47.310001,47.790001000000004,2218800,47.790001000000004
2015-03-05,47.689999,48.700001,47.41,47.939999,1696900,47.939999
2015-03-06,47.75,48.580002,46.919998,47.049999,1994800,47.049999
2015-03-09,46.959998999999996,46.959998999999996,45.34,45.82,2554800,45.82
2015-03-10,45.040001000000004,45.900002,44.25,45.23,2379500,45.23
2015-03-11,45.080002,46.73,44.73,45.73,2227300,45.73
2015-03-12,45.900002,46.82,45.540001000000004,46.799999,1657400,46.799999
2015-03-13,46.759997999999996,47.5,46.130001,46.450001,2259400,46.450001
2015-03-16,46.349998,46.75,45.599998,46.709998999999996,1607800,46.709998999999996
2015-03-17,46.599998,47.59,46.310001,47.220001,1723000,47.220001
2015-03-18,47.040001000000004,47.57,46.599998,46.82,2514800,46.82
2015-03-19,46.669998,47.240002000000004,44.34,45.18,9280900,45.18
2015-03-20,45.32,46.400002,44.860001000000004,44.939999,4240400,44.939999
